date,actual,mean,naive,snaive_daily,snaive_weekly,drift,sarima,ml_true,ml_conditional,foundation_PLACEHOLDER
2016-05-13 19:00:00,208.33333333333334,97.46163394267658,348.3333333333333,123.33333333333333,126.66666666666667,348.432667343944,210.08097866514228,201.490340001012,173.9942973244385,123.33333333333333
2016-05-13 20:00:00,120.0,97.46163394267658,348.3333333333333,100.0,116.66666666666667,348.53200135455467,191.30605754946896,185.64971654688543,171.13822880904775,100.0
2016-05-13 21:00:00,63.333333333333336,97.46163394267658,348.3333333333333,71.66666666666667,71.66666666666667,348.63133536516534,137.7333743375344,91.00274480883304,91.85167835013034,71.66666666666667
2016-05-13 22:00:00,55.0,97.46163394267658,348.3333333333333,60.0,53.333333333333336,348.730669375776,111.50006086320921,78.79488532690152,71.0220804384939,60.0
2016-05-13 23:00:00,61.666666666666664,97.46163394267658,348.3333333333333,56.666666666666664,58.333333333333336,348.8300033863867,94.56515100356174,57.79267441095643,56.76612239213829,56.666666666666664
2016-05-14 00:00:00,58.333333333333336,97.46163394267658,348.3333333333333,55.0,51.666666666666664,348.92933739699737,84.06738339765332,53.47435101341292,54.39079739165284,55.0
2016-05-14 01:00:00,63.333333333333336,97.46163394267658,348.3333333333333,53.333333333333336,56.666666666666664,349.02867140760804,77.38121989650881,53.46526243318698,50.72755897786218,53.333333333333336
2016-05-14 02:00:00,60.0,97.46163394267658,348.3333333333333,58.333333333333336,53.333333333333336,349.1280054182187,71.55379143602471,51.95096266216631,51.4665338465155,58.333333333333336
2016-05-14 03:00:00,60.0,97.46163394267658,348.3333333333333,58.333333333333336,55.0,349.2273394288294,66.2680698971622,60.973440314210315,55.60334735977203,58.333333333333336
2016-05-14 04:00:00,60.0,97.46163394267658,348.3333333333333,50.0,55.0,349.32667343944007,62.61653028834563,61.325672454028926,58.27184362496152,50.0
2016-05-14 05:00:00,56.666666666666664,97.46163394267658,348.3333333333333,58.333333333333336,51.666666666666664,349.4260074500508,68.85098043010841,66.13521029299454,58.680759692612824,58.333333333333336
2016-05-14 06:00:00,63.333333333333336,97.46163394267658,348.3333333333333,146.66666666666666,53.333333333333336,349.5253414606615,79.90706768697596,98.91457098010784,92.37333613628087,146.66666666666666
2016-05-14 07:00:00,113.33333333333333,97.46163394267658,348.3333333333333,176.66666666666666,148.33333333333334,349.62467547127216,106.28827672893166,127.27559465982193,110.39307079169637,176.66666666666666
2016-05-14 08:00:00,133.33333333333334,97.46163394267658,348.3333333333333,338.3333333333333,121.66666666666667,349.72400948188283,127.55529378665148,151.7206618584716,163.3541904547323,338.3333333333333
